OBJECTID,Longitude,Latitude,ElevationB
2216,-149.62604021200,68.63250430720,-4.10000000000
2217,-149.62608690600,68.63249028260,-4.30000000000
2218,-149.62613848500,68.63247678020,-4.70000000000
2219,-149.62619802000,68.63246026930,-5.20000000000
2220,-149.62626700300,68.63244629180,-5.80000000000
2221,-149.62633718600,68.63243525520,-6.70000000000
2222,-149.62641275200,68.63242822800,-7.40000000000
2223,-149.62648772000,68.63242936460,-8.60000000000
2224,-149.62656417600,68.63243071520,-9.70000000000
2225,-149.62663740800,68.63243519270,-10.80000000000
2226,-149.62670330700,68.63244566020,-11.50000000000
2227,-149.62676015300,68.63246013320,-12.00000000000
2228,-149.62681110100,68.63247913980,-12.50000000000
2229,-149.62685144400,68.63249899920,-13.10000000000
2230,-149.62688195500,68.63252192500,-13.10000000000
2231,-149.62690827200,68.63254487250,-13.40000000000
2232,-149.62693200500,68.63257110460,-14.30000000000
2233,-149.62695262700,68.63259838440,-14.10000000000
2234,-149.62697723200,68.63262525270,-14.80000000000
2235,-149.62700405100,68.63265241380,-15.30000000000
2236,-149.62703068500,68.63267896510,-16.20000000000
2237,-149.62705464300,68.63270189430,-16.90000000000
2238,-149.62707945400,68.63272368350,-17.70000000000
2239,-149.62710418000,68.63274418160,-18.50000000000
2240,-149.62713293300,68.63276703950,-19.70000000000
2241,-149.62716143000,68.63278992000,-20.60000000000
2242,-149.62718837800,68.63281131060,-21.70000000000
2243,-149.62721532700,68.63283424100,-22.70000000000
2244,-149.62724675800,68.63285879660,-24.00000000000
2245,-149.62727820600,68.63288447500,-24.90000000000
2246,-149.62730849000,68.63290958360,-25.80000000000
2247,-149.62734471900,68.63293578960,-26.40000000000
2248,-149.62737701700,68.63296362290,-26.70000000000
2249,-149.62741069500,68.63298983950,-26.90000000000
2250,-149.62743989700,68.63301768330,-26.70000000000
2251,-149.62746684500,68.63304716500,-26.40000000000
2252,-149.62749379400,68.63307337090,-24.80000000000
